zcta,state,synth_avg_size,real_avg_size,synth_avg_adults,synth_avg_kids,synth_total_pop,synth_total_pop_from_house,real_total_pop
35630,AL,3.625776905462872,2.18,2.824010467778868,0.8017664376840039,33252,33252,33252
35674,AL,4.448503521126761,2.62,3.2746478873239435,1.173855633802817,20214,20214,20214
99835,AK,3.6817588158467567,2.36,2.854157596865477,0.8276012189812799,8457,8457,8457
99773,AK,10.608695652173912,5.3,6.304347826086956,4.304347826086956,244,244,244
85297,AZ,5.700099966677774,3.26,3.661112962345885,2.038987004331889,34212,34212,34212
86556,AZ,9.033742331288343,4.13,5.2607361963190185,3.773006134969325,2945,2945,2945
72392,AR,5.064814814814815,3.46,3.5925925925925926,1.4722222222222223,547,547,547
72471,AR,5.763888888888889,3.13,3.8564814814814814,1.9074074074074074,1245,1245,1245
95624,CA,5.900008687342542,3.29,4.212926765702371,1.6870819216401702,67915,67915,67915
91711,CA,4.393960674157303,2.56,3.3222144194756553,1.0717462546816479,37542,37542,37542
80860,CO,2.641025641025641,1.78,2.4,0.24102564102564103,515,515,515
80481,CO,3.773049645390071,2.49,3.482269503546099,0.2907801418439716,532,532,532
06615,CT,3.609149455918277,2.42,2.8345547412835885,0.774594714634688,16252,16252,16252
06279,CT,3.6202203499675956,2.09,3.0110174983797795,0.609202851587816,5586,5586,5586
19805,DE,3.8285327662864876,2.45,2.7968296926348346,1.0317030736516528,39610,39610,39610
19706,DE,4.428571428571429,2.76,3.2254464285714284,1.203125,1984,1984,1984
20009,DC,2.632800628766047,1.74,2.340791197275347,0.2920094314906995,50247,50247,50247
32147,FL,3.7552631578947366,2.08,2.95,0.8052631578947368,1427,1427,1427
32180,FL,6.321112515802781,3.65,4.127686472819216,2.1934260429835652,5000,5000,5000
30044,GA,5.511209033324153,3.28,3.7221702010465436,1.7890388322776094,100056,100056,100056
31014,GA,4.452534875808098,2.69,3.3290234773732563,1.1235113984348417,13086,13086,13086
96813,HI,3.5891869469026547,2.15,3.011891592920354,0.5772953539823009,25957,25957,25957
96728,HI,4.257731958762887,2.5,3.195876288659794,1.0618556701030928,413,413,413
83611,ID,4.538805970149253,2.9,3.828358208955224,0.7104477611940299,3041,3041,3041
83821,ID,3.6,2.13,3.2,0.4,216,216,216
60433,IL,4.522488317757009,2.82,3.2765771028037385,1.245911214953271,15485,15485,15485
62899,IL,4.696629213483146,2.87,3.2387640449438204,1.4578651685393258,1672,1672,1672
46181,IN,4.581272084805653,2.69,3.26678445229682,1.314487632508834,5186,5186,5186
47385,IN,4.517412935323383,2.56,3.298507462686567,1.2189054726368158,1816,1816,1816
51031,IA,3.8375990249847654,2.42,2.784582571602681,1.053016453382084,12595,12595,12595
50603,IA,3.842696629213483,2.12,3.1235955056179776,0.7191011235955056,342,342,342
67045,KS,3.800747198007472,2.38,2.816936488169365,0.9838107098381071,3052,3052,3052
67867,KS,4.576368876080692,2.74,3.2564841498559076,1.319884726224784,1588,1588,1588
40806,KY,3.6491228070175437,2.2,2.9210526315789473,0.7280701754385965,1664,1664,1664
40472,KY,3.6359102244389025,2.33,3.0149625935162097,0.6209476309226932,1458,1458,1458
70747,LA,3.7611940298507465,2.08,2.8656716417910446,0.8955223880597015,252,252,252
71018,LA,4.788235294117647,2.74,3.2588235294117647,1.5294117647058822,1221,1221,1221
04986,ME,6.0,3.31,3.7329974811083124,2.2670025188916876,2382,2382,2382
04554,ME,2.864406779661017,1.91,2.5466101694915255,0.3177966101694915,676,676,676
21639,MD,4.772177419354839,2.76,3.345766129032258,1.4264112903225807,4734,4734,4734
21409,MD,4.386088066368858,2.72,3.2242076154009784,1.161880450967879,20619,20619,20619
02562,MA,4.291871921182266,2.62,3.2463054187192117,1.0455665024630543,3485,3485,3485
01905,MA,6.072457245724572,3.0,4.271152115211521,1.8013051305130514,26986,26986,26986
49971,MI,2.712418300653595,1.93,2.34640522875817,0.3660130718954248,415,415,415
48893,MI,4.287804878048781,2.53,3.2390243902439027,1.048780487804878,5274,5274,5274
56134,MN,3.727272727272727,2.28,2.808080808080808,0.9191919191919192,369,369,369
55102,MN,2.8025806451612905,1.78,2.4695340501792113,0.33304659498207884,19548,19548,19548
39056,MS,4.625124958347217,2.68,3.2807397534155283,1.3443852049316893,27760,27760,27760
38760,MS,6.215189873417722,3.01,4.284810126582278,1.9303797468354431,982,982,982
65354,MO,3.656716417910448,2.3,3.0671641791044775,0.5895522388059702,490,490,490
64679,MO,4.4863387978142075,2.6,3.377049180327869,1.1092896174863387,821,821,821
59333,MT,6.0,3.75,6.0,0.0,30,30,30
59044,MT,4.331311088641725,2.53,3.238624873609707,1.092686215032019,12851,12851,12851
68760,NE,4.7265625,2.71,3.18359375,1.54296875,1210,1210,1210
68946,NE,2.4166666666666665,1.53,2.0,0.4166666666666667,29,29,29
89025,NV,4.372881355932203,2.67,3.3177966101694913,1.055084745762712,1032,1032,1032
89411,NV,3.335483870967742,2.15,2.925806451612903,0.4096774193548387,1034,1034,1034
03231,NH,3.4375,1.96,3.4375,0.0,110,110,110
03031,NH,4.321141185076811,2.61,3.247622531089978,1.0735186539868324,11814,11814,11814
07010,NJ,3.6515151515151514,2.43,2.8795025728987995,0.7720125786163522,25546,25546,25546
08640,NJ,12.968333333333334,3.16,10.786666666666667,2.1816666666666666,7781,7781,7781
88426,NM,3.8937728937728937,2.08,3.0256410256410255,0.8681318681318682,1063,1063,1063
87564,NM,2.8,1.71,2.7666666666666666,0.03333333333333333,84,84,84
14037,NY,4.063291139240507,2.54,3.4050632911392404,0.6582278481012658,963,963,963
14111,NY,3.888888888888889,2.47,2.9246913580246914,0.9641975308641976,3150,3150,3150
27018,NC,4.307046979865772,2.61,3.3003355704697985,1.0067114093959733,7701,7701,7701
28508,NC,3.6016597510373445,2.4,2.7780082987551866,0.8236514522821576,1736,1736,1736
58105,ND,253.3,5.13,35.7,217.6,2533,2533,2533
43044,OH,4.032233307751343,2.53,3.207214121258634,0.8250191864927091,5254,5254,5254
43061,OH,5.401498929336189,3.26,3.6359743040685224,1.765524625267666,5045,5045,5045
74720,OK,4.5212765957446805,2.67,3.425531914893617,1.0957446808510638,425,425,425
74431,OK,4.515151515151516,2.67,3.090909090909091,1.4242424242424243,894,894,894
97501,OR,3.7536800785083417,2.43,2.8679260713117434,0.885754007196598,45900,45900,45900
97364,OR,3.921259842519685,2.27,2.84251968503937,1.078740157480315,498,498,498
16361,PA,2.142857142857143,1.3,2.142857142857143,0.0,30,30,30
17954,PA,3.698950766747377,2.46,2.8894269572235673,0.8095238095238095,4583,4583,4583
02889,RI,3.750199415049189,2.47,3.0017282637596385,0.7484711512895507,28209,28209,28209
02861,RI,3.7410981244903505,2.47,2.969964664310954,0.7711334601793965,27527,27527,27527
29591,SC,4.230769230769231,2.52,3.293790546802595,0.9369786839666358,4565,4565,4565
29059,SC,4.509433962264151,2.64,3.3036020583190395,1.2058319039451115,5258,5258,5258
57648,SD,3.5210084033613445,2.01,3.042016806722689,0.4789915966386555,419,419,419
57243,SD,4.035460992907802,2.05,3.1702127659574466,0.8652482269503546,569,569,569
37330,TN,3.6139339968569932,2.44,2.8056574122577267,0.8082765845992667,6899,6899,6899
37938,TN,4.179542719614922,2.53,3.25367027677497,0.9258724428399518,17366,17366,17366
77701,TX,4.52972027972028,2.79,3.3083916083916085,1.2213286713286713,12955,12955,12955
78385,TX,4.64,2.92,3.48,1.16,116,116,116
84020,UT,5.530253385757973,3.05,3.7361293141109653,1.7941240716470075,50635,50635,50635
84531,UT,5.883495145631068,3.72,3.766990291262136,2.116504854368932,606,606,606
05778,VT,4.261410788381743,2.59,3.336099585062241,0.9253112033195021,1027,1027,1027
05648,VT,4.4453125,2.6,3.6171875,0.828125,569,569,569
24593,VA,4.1206030150753765,2.55,3.2294807370184255,0.8911222780569514,2460,2460,2460
24082,VA,4.591549295774648,2.77,3.0211267605633805,1.5704225352112675,652,652,652
99004,WA,3.9205648720211825,2.47,2.892321270962048,1.0282436010591351,22210,22210,22210
98685,WA,4.32431666902705,2.57,3.2731907661804276,1.0511259028466222,30534,30534,30534
26369,WV,5.938775510204081,3.22,4.1938775510204085,1.7448979591836735,582,582,582
25005,WV,5.533333333333333,2.57,3.4833333333333334,2.05,332,332,332
54436,WI,4.966216216216216,2.87,3.295045045045045,1.6711711711711712,2205,2205,2205
54025,WI,4.316546762589928,2.6,3.1948441247002397,1.1217026378896882,7200,7200,7200
82832,WY,4.805343511450381,2.51,3.3587786259541983,1.4465648854961832,1259,1259,1259
83014,WY,3.0536352800953517,1.98,2.756853396901073,0.2967818831942789,2562,2562,2562
